"Delete Cookie Group","Usuń grupę cookies"
"Save Cookie Group","Zapisz grupę cookies"
"We can't find a Cookie Group to delete.","Nie można było znaleźć grupy cookies."
"You deleted the Cookie Group.","Usunięto grupę cookies."
Content,Zawartość
"Cookie Consent","Zgoda na pliki cookies"
"Cookie Group","Grupa cookies"
"New Cookie Group","Nowa Grupa cookies"
"Edit Cookie Group","Edytuj Grupę cookies"
"Edit Cookie Group: %1","Edytuj Grupę cookies: %1"
"This Cookie Group no longer exists.","Ta grupa cookies już nie istnieje."
"You saved the Cookie Group.","Zapisałeś grupę cookies."
"Something went wrong while saving the Cookie Group.","Coś poszło nie tak podczas zapisu grupy cookies."
"Unable to save Cookie Group","Nie można było zapisać grupy cookies"
"Requested Cookie Group entity with entity_id ""%1"" doesn't exist.","Żądana grupa cookies:  ""%1"" nie istnieje."
"Unable to remove Cookie Group %1","Nie można było usunąć grupy cookies: %1"
"Are you sure you wan't to delete this record?","Czy na pewno chcesz usunąć ten wpis?"
"Cookie Policy","Cookie Policy"
"Privacy Policy","Polityka prywatności"
"We use functional and analytical cookies to make our website better.","Aby usprawnić działanie naszego sklepu wykoszytujemy pliki cookies."
"Would you like to know more about our cookies? Click on ""Cookie settings"".","Jeśli chcesz dowiedzieć się więcej o naszych plikach cookies kliknij ""Ustawienia""."
"Accept cookies","Akceptuję pliki cookie"
"Cookie settings","Ustawienia"
"Show preferences","Pokaż opcje"
"Allow all","Zezwól na wszystkie"
"Name of cookie","Nazwa"
"Expiration of cookie","Wygaśnięcie cookie"
"Cookie consent overview","Przegląd zgód na pliki cookie"
"Listing of cookie groups","Lista grup cookies"
"Cookie preferences button","Przycisk prefenerecji"
"Button to open the cookie preferences modal","Button to open the cookie preferences modal"
"General Information","General Information"
"System name","Nazwa systemowa"
Name,Nazwa
Description,Opis
Active,Aktywne
Essential,Niezbędne
"Add new Cookie Group","Dodaj nową grupę"
ID,ID
